1,5,1,1,1,1
2,5,1,1,1,1
3,5,1,1,1,1
4,5,1,1,1,1
5,5,1,1,1,1
6,5,1,1,1,1
7,5,1,1,1,1
8,5,1,1,1,1
9,5,1,1,1,1
10,5,1,1,1,1
11,5,1,1,1,1
12,5,1,1,1,1
13,7,1,1,1,1
14,7,1,1,1,1
15,7,1,1,1,1
16,7,1,1,1,1
17,7,1,1,1,1
18,7,1,1,1,1
19,7,1,1,1,1
20,7,1,1,1,1
21,7,1,1,1,1
22,7,1,1,1,1
23,7,1,1,1,1
24,7,1,1,1,1
25,7,1,1,1,1
26,5,1,1,1,1
27,7,1,1,1,1
28,7,1,1,1,1
29,5,1,1,1,1
30,5,1,1,1,1
31,5,1,1,1,1
32,5,1,1,1,1
33,5,1,1,1,1
34,11,1,1,1,1
35,12,1,1,1,1
36,5,1,1,1,1
37,5,1,1,1,1
38,5,1,1,1,1
39,11,1,1,1,1
40,11,1,1,1,1
41,11,1,1,1,1
42,13,1,1,1,1
