1,1,5,"","post-it","Remember to put the cat out","0000-00-00 00:00:00","0000-00-00 00:00:00",\N,"2009-06-09 05:50:00","0000-00-00 00:00:00",1
2,5,5,"","suprev","","2009-09-10 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-10 01:27:12","0000-00-00 00:00:00",1
3,6,5,"","accrev","","2009-09-10 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-10 01:53:44","0000-00-00 00:00:00",1
4,6,5,"","accterm","","2009-09-10 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-10 02:02:32","0000-00-00 00:00:00",1
5,7,5,"","accrev","","2009-09-10 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-10 02:08:21","0000-00-00 00:00:00",1
6,7,5,"","accterm","","2009-09-10 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-10 02:08:31","0000-00-00 00:00:00",1
7,3,5,"","accrev","","2009-09-10 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-10 02:29:09","0000-00-00 00:00:00",1
8,4,5,"","post-it","afadsf","0000-00-00 00:00:00","0000-00-00 00:00:00",\N,"2009-06-10 02:36:00","0000-00-00 00:00:00",1
9,4,5,"","post-it","asdfasdf","0000-00-00 00:00:00","0000-00-00 00:00:00",\N,"2009-06-10 02:36:00","0000-00-00 00:00:00",1
10,4,5,"","post-it","asdfasdfdsafasdfasfd","0000-00-00 00:00:00","0000-00-00 00:00:00",\N,"2009-06-12 02:36:00","0000-00-00 00:00:00",1
11,8,5,"","post-it","","0000-00-00 00:00:00","0000-00-00 00:00:00",\N,"2009-06-10 02:44:00","0000-00-00 00:00:00",1
12,3,5,"","accterm","","2009-09-10 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-10 02:46:10","0000-00-00 00:00:00",1
13,10,5,"","suprev","","2009-09-10 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-10 05:01:07","0000-00-00 00:00:00",0
14,11,5,"","suprev","","2009-09-10 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-10 05:01:13","0000-00-00 00:00:00",0
15,9,5,"","suprev","","2009-09-10 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-10 05:01:16","0000-00-00 00:00:00",1
16,21,8,"","post-it","This client is a fish","0000-00-00 00:00:00","0000-00-00 00:00:00",\N,"2009-06-16 06:04:00","0000-00-00 00:00:00",1
17,26,5,"","post-it","Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur.","0000-00-00 00:00:00","0000-00-00 00:00:00",\N,"2009-06-11 06:08:00","0000-00-00 00:00:00",1
18,28,5,"","accrev","","2009-09-17 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-17 01:20:06","0000-00-00 00:00:00",1
19,28,5,"","accterm","","2009-09-18 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-18 06:04:56","0000-00-00 00:00:00",0
20,32,5,"","accrev","","2009-09-18 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-18 06:07:26","0000-00-00 00:00:00",0
21,34,11,"","suprev","","2009-09-19 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-19 14:23:57","0000-00-00 00:00:00",1
22,34,11,"","suprev","","2009-09-20 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-19 14:25:52","0000-00-00 00:00:00",1
23,34,11,"","supterm","","2009-07-19 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-19 14:27:39","0000-00-00 00:00:00",1
24,35,12,"","accrev","","2009-09-19 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-19 14:38:33","0000-00-00 00:00:00",0
25,13,12,"","post-it","remind Tendero to turn up!!!!","0000-00-00 00:00:00","0000-00-00 00:00:00",\N,"2009-06-19 14:46:00","0000-00-00 00:00:00",1
26,9,12,"","tres","SAL appt","0000-00-00 00:00:00","0000-00-00 00:00:00",\N,"2009-06-19 14:50:00","0000-00-00 00:00:00",1
27,35,12,"","tres","did not collect today","0000-00-00 00:00:00","0000-00-00 00:00:00",\N,"2009-06-19 14:50:00","0000-00-00 00:00:00",0
28,10,13,"","tres","give his letter please","0000-00-00 00:00:00","0000-00-00 00:00:00",\N,"2009-06-19 15:08:00","0000-00-00 00:00:00",0
29,36,5,"","suprev","","2009-09-21 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-21 12:41:55","0000-00-00 00:00:00",1
30,36,5,"","suprev","","2009-09-21 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-21 14:10:46","0000-00-00 00:00:00",1
31,36,5,"","suprev","","2009-09-21 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-21 14:16:44","0000-00-00 00:00:00",1
32,36,5,"","suprev","","2009-09-21 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-21 14:16:52","0000-00-00 00:00:00",1
33,36,5,"","suprev","","2009-09-21 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-21 14:16:56","0000-00-00 00:00:00",1
34,36,5,"","suprev","","2009-09-21 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-21 14:17:01","0000-00-00 00:00:00",1
35,36,5,"","suprev","","2009-09-21 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-21 14:17:04","0000-00-00 00:00:00",1
36,36,5,"","suprev","","2009-09-21 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-21 14:17:08","0000-00-00 00:00:00",1
37,36,5,"","suprev","","2009-09-21 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-21 14:20:16","0000-00-00 00:00:00",0
38,9,5,"","suprev","","2009-09-21 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-21 14:32:13","0000-00-00 00:00:00",1
39,9,5,"","suprev","","2009-09-21 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-21 14:32:45","0000-00-00 00:00:00",1
40,37,5,"","suprev","","2009-09-21 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-21 14:33:39","0000-00-00 00:00:00",1
41,1,5,"","post-it","","0000-00-00 00:00:00","0000-00-00 00:00:00",\N,"2009-06-21 14:33:00","0000-00-00 00:00:00",0
42,37,5,"","suprev","","2009-09-21 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-21 14:34:05","0000-00-00 00:00:00",1
43,37,5,"","suprev","","2009-09-21 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","2009-06-21 14:34:18","0000-00-00 00:00:00",0
44,37,5,"","tres","zap","0000-00-00 00:00:00","0000-00-00 00:00:00",\N,"2009-06-21 14:34:00","0000-00-00 00:00:00",1
45,37,5,"","tres","zambags","0000-00-00 00:00:00","0000-00-00 00:00:00",\N,"2009-06-21 14:43:00","0000-00-00 00:00:00",0
46,36,11,"","tres","Broke his leg so couldn't get in. 2 weeks money next week.","0000-00-00 00:00:00","0000-00-00 00:00:00",\N,"2009-06-22 18:32:00","0000-00-00 00:00:00",0
