2,11,"parent"
3,22,"parent"
3,23,"child"
4,24,"parent"
5,28,"parent"
6,29,"parent"
7,30,"parent"
7,31,"child"
12,39,"parent"
13,47,"parent"
14,48,"parent"
15,49,"parent"
18,83,"parent"
19,92,"parent"
20,93,"parent"
21,99,"parent"
22,100,"parent"
23,101,"parent"
24,106,"parent"
26,111,"child"
26,112,"child"
26,113,"child"
29,116,"parent"
30,117,"parent"
31,120,"parent"
32,121,"parent"
33,122,"parent"
34,123,"parent"
35,124,"parent"
36,125,"parent"
37,126,"parent"
38,127,"parent"
39,128,"parent"
40,131,"parent"
42,133,"parent"
43,134,"parent"
46,146,"child"
