1,1,"stage_change","kw_followups_stage_change_title","kw_followups_stage_change_description","N","N"
2,1,"opening","Client Registration","","N","N"
3,1,"assignment","Assignment","kw_followups_assignment_description","N","N"
4,1,"unassignment","Unassignment","kw_followups_unassignment_description","N","N"
5,1,"suspension","kw_followups_suspension_title","kw_followups_suspension_description","N","N"
6,1,"resumption","kw_followups_resumption_title","kw_followups_resumption_description","N","N"
7,1,"delay","kw_followups_delay_title","kw_followups_delay_description","N","N"
8,1,"conclusion","Conclusion","","N","N"
123,20,"ethnicity02","Albania","","N","Y"
9,1,"deletion","kw_followups_deletion_title","kw_followups_deletion_description","N","N"
10,1,"reopening","kw_followups_reopening_title","kw_followups_reopening_description","N","N"
11,1,"merge","kw_followups_merge_title","kw_followups_merge_description","N","N"
12,1,"consultation","kw_followups_consultation_title","kw_followups_consultation_description","N","N"
13,1,"correspondance","kw_followups_correspondance_title","kw_followups_correspondance_description","N","N"
14,1,"travel","kw_followups_travel_title","kw_followups_travel_description","N","N"
15,1,"other","kw_followups_other_title","kw_followups_other_description","N","N"
16,8,"meeting","kw_appointments_meeting_title","kw_appointments_meeting_description","N","Y"
17,8,"phone_conversation","kw_appointments_phone_conversation_title","kw_appointments_phone_conversation_description","N","Y"
18,8,"court_session","kw_appointments_court_session_title","kw_appointments_court_session_description","N","Y"
19,9,"unknown","kw_civilstatus_unknown_title","kw_civilstatus_unknown_description","N","Y"
20,9,"single","kw_civilstatus_single_title","kw_civilstatus_single_description","N","Y"
21,9,"married","kw_civilstatus_married_title","kw_civilstatus_married_description","N","Y"
22,9,"divorced","kw_civilstatus_divorced_title","kw_civilstatus_divorced_description","N","Y"
23,9,"widowed","kw_civilstatus_widowed_title","kw_civilstatus_widowed_description","N","Y"
24,10,"unknown","kw_income_unknown_title","kw_income_unknown_description","N","Y"
25,10,"low","kw_income_low_title","kw_income_low_description","N","Y"
26,10,"average","kw_income_average_title","kw_income_average_description","N","Y"
27,10,"high","kw_income_high_title","kw_income_high_description","N","Y"
28,11,"unsubmitted","Unsubmitted","","N","Y"
435,22,"english03","3. Intermedate","","N","Y"
29,11,"supported","Supported","","N","Y"
30,11,"submitted","Awaiting Decision","","N","Y"
443,11,"na","NA","","N","Y"
32,11,"terminated","Terminated","","N","Y"
33,12,"none","10. kw_conclusion_none_title","kw_conclusion_none_description","N","N"
34,12,"guilty","15. kw_conclusion_guilty_title","kw_conclusion_guilty_description","N","N"
35,12,"notguilty","20. kw_conclusion_notguilty_title","kw_conclusion_notguilty_description","N","N"
36,12,"cessation","25. kw_conclusion_cessation_title","kw_conclusion_cessation_description","N","N"
37,12,"reinvestigation","30. kw_conclusion_reinvestigation_title","kw_conclusion_reinvestigation_description","N","N"
38,13,"none","10. kw_sentence_none_title","kw_sentence_none_description","N","Y"
39,13,"fine","15. kw_sentence_fine_title","kw_sentence_fine_description","N","Y"
40,13,"prison","20. kw_sentence_prison_title","kw_sentence_prison_description","N","Y"
41,13,"probation","25. kw_sentence_probation_title","kw_sentence_probation_description","N","Y"
42,13,"community","30. kw_sentence_community_title","kw_sentence_community_description","N","Y"
43,14,"none","10. kw__crimresults_none_title","kw__crimresults_none_description","N","Y"
44,14,"res001","15. kw__crimresults_res001_title","kw__crimresults_res001_description","N","Y"
