"lcm_db_version","51","2008-01-30 14:28:21"
"default_language","en","2008-01-30 14:28:22"
"site_open_subscription","no","2008-01-30 14:28:21"
"site_name","title_software","2009-03-04 18:35:31"
"site_description","For ASSIST","2009-03-17 21:59:34"
"currency","€","2009-03-04 18:35:31"
"case_default_read","yes","2008-01-30 14:28:21"
"case_default_write","yes","2009-03-04 21:10:51"
"case_read_always","no","2009-03-04 18:35:31"
"case_write_always","no","2009-03-04 18:35:31"
"client_name_middle","no","2008-01-30 14:28:21"
"client_citizen_number","yes_optional","2009-03-14 11:49:48"
"client_civil_status","no","2008-01-30 14:28:21"
"client_income","no","2008-01-30 14:28:21"
"client_hide_all","no","2008-01-30 14:28:21"
"client_share_read","yes","2008-01-30 14:28:22"
"client_share_write","yes","2008-01-30 14:28:22"
"client_date_birth","yes_optional","2009-03-04 21:11:14"
"person_name_format","1","2008-01-30 14:28:22"
"org_hide_all","yes","2009-03-05 14:23:33"
"org_share_read","yes","2008-01-30 14:28:22"
"org_share_write","yes","2008-01-30 14:28:22"
"case_court_archive","no","2008-01-30 14:28:22"
"case_assignment_date","no","2009-03-05 14:27:45"
"case_alledged_crime","no","2009-03-04 21:11:14"
"case_legal_reason","no","2009-03-04 21:11:14"
"case_new_showorg","no","2008-01-30 14:28:22"
"case_allow_modif","yes","2008-01-30 14:28:22"
"fu_sum_billed","no","2008-01-30 14:28:22"
"fu_allow_modif","yes","2008-01-30 14:28:22"
"hide_emails","no","2008-01-30 14:28:22"
"db_utf8","yes","2008-01-30 14:28:22"
"charset","UTF-8","2008-01-30 14:28:22"
"available_languages","bg,de,de2,en,en_uk,en_us,es,es_mx,fr,it,pl,pt_br,ru","2008-01-30 14:28:22"
"site_address","http://localhost/legal/","2008-01-30 14:28:39"
"email_sysadmin","matt.glasspole@gmail.com","2008-02-26 13:36:14"
"news","","2009-05-21 23:22:38"
"newsauth","matt","2008-11-24 21:35:38"
