61,"n/a","2009-06-28 21:34:12","2009-06-28 21:34:12","2009-06-28 21:34:12","","","","open","na",0,0,"Default",0
62,"n/a","2009-06-28 21:53:21","2009-06-28 21:53:21","2009-07-04 12:19:00","","","","open","na",0,0,"Default",0
63,"n/a","2009-06-28 21:54:19","2009-06-28 21:54:19","2009-06-28 21:54:19","","","","open","submitted",1,1,"Support",0
64,"n/a","2009-06-28 21:54:30","2009-06-28 21:54:30","2009-07-28 18:36:00","","","","open","reserved",1,1,"Accomidation",0
153,"n/a","2009-07-29 11:15:26","2009-07-29 11:15:26","2009-07-29 11:24:00","no","","","closed","terminated",1,1,"Support",0
65,"n/a","2009-06-28 22:32:08","2009-06-28 22:32:08","2009-07-04 12:26:00","","","","open","na",0,0,"Default",0
66,"n/a","2009-06-28 22:39:34","2009-06-28 22:39:34","2009-06-28 22:39:34","no","","","closed","terminated",1,1,"Support",20
67,"n/a","2009-07-03 20:31:06","2009-07-03 20:31:06","2009-07-29 11:23:00","","","","open","na",0,0,"Default",0
68,"n/a","2009-07-03 20:31:19","2009-07-03 20:31:19","2009-07-04 12:18:00","no","","","closed","terminated",1,1,"Support",0
76,"n/a","2009-07-04 11:17:44","2009-07-04 11:17:44","2009-07-06 20:02:00","","","","open","na",0,0,"Default",0
69,"n/a","2009-07-03 20:33:46","2009-07-03 20:33:46","2009-07-30 10:41:00","","","","open","na",0,0,"Default",0
70,"n/a","2009-07-03 20:33:51","2009-07-03 20:33:51","2009-07-29 14:06:00","no","","","open","supported",1,1,"Support",10
71,"n/a","2009-07-03 20:34:06","2009-07-03 20:34:06","2009-07-03 20:34:06","","","","open","submitted",1,1,"Accomidation",0
72,"n/a","2009-07-03 20:35:26","2009-07-03 20:35:26","2009-07-04 11:52:00","","","","open","na",0,0,"Default",0
73,"n/a","2009-07-03 20:35:30","2009-07-03 20:35:30","2009-07-30 15:56:00","","","","open","submitted",1,1,"Support",0
74,"n/a","2009-07-03 20:35:37","2009-07-03 20:35:37","2009-07-03 20:35:37","","","","open","submitted",1,1,"Accomidation",0
75,"n/a","2009-07-03 20:36:45","2009-07-03 20:36:45","2009-07-03 20:37:00","yes","","","open","accom",1,1,"Accomidation",15
77,"n/a","2009-07-04 11:18:15","2009-07-04 11:18:15","2009-07-20 17:40:00","no","","","open","supported",1,1,"Support",5
78,"n/a","2009-07-04 11:18:27","2009-07-04 11:18:27","2009-07-04 11:18:27","","","","open","submitted",1,1,"Accomidation",0
79,"n/a","2009-07-04 11:54:07","2009-07-04 11:54:07","2009-07-04 11:54:07","","","","open","na",0,0,"Default",0
80,"n/a","2009-07-04 11:54:08","2009-07-04 11:54:08","2009-07-04 12:26:00","","","","open","na",0,0,"Default",0
81,"n/a","2009-07-04 11:54:08","2009-07-04 11:54:08","2009-07-04 11:54:08","","","","open","na",0,0,"Default",0
82,"n/a","2009-07-04 11:54:26","2009-07-04 11:54:26","2009-07-04 11:54:26","","","","open","na",0,0,"Default",0
83,"n/a","2009-07-04 11:55:11","2009-07-04 11:55:11","2009-07-04 12:05:00","no","","","closed","rejected",1,1,"Support",0
84,"n/a","2009-07-04 11:57:58","2009-07-04 11:57:58","2009-07-04 11:58:00","","","","open","na",0,0,"Default",0
85,"n/a","2009-07-04 11:59:28","2009-07-04 11:59:28","2009-07-04 12:15:00","no","","","closed","terminated",1,1,"Support",0
86,"n/a","2009-07-04 12:00:06","2009-07-04 12:00:06","2009-07-04 12:15:00","no","","","closed","rejected",1,1,"Accomidation",0
87,"n/a","2009-07-04 12:00:12","2009-07-04 12:00:12","2009-07-04 12:08:00","","","","open","na",0,0,"Default",0
88,"n/a","2009-07-04 12:02:09","2009-07-04 12:02:09","2009-07-29 20:20:00","no","","","closed","terminated",1,1,"Support",0
93,"n/a","2009-07-04 12:16:00","2009-07-04 12:16:00","2009-07-04 12:16:00","","","","open","submitted",1,1,"Accomidation",0
89,"n/a","2009-07-04 12:04:17","2009-07-04 12:04:17","2009-07-04 12:16:00","","","","open","na",0,0,"Default",0
90,"n/a","2009-07-04 12:05:35","2009-07-04 12:05:35","2009-07-04 12:05:35","","","","open","na",0,0,"Default",0
91,"n/a","2009-07-04 12:09:37","2009-07-04 12:09:37","2009-07-04 12:22:00","","","","open","na",0,0,"Default",0
92,"n/a","2009-07-04 12:10:07","2009-07-04 12:10:07","2009-07-29 17:20:00","no","","","open","supported",1,1,"Support",0
94,"n/a","2009-07-10 13:52:27","2009-07-10 13:52:27","2009-07-10 13:52:27","","","","open","na",0,0,"Default",0
95,"n/a","2009-07-10 14:12:41","2009-07-10 14:12:41","2009-07-10 14:12:41","no","","","open","supported",1,1,"Support",20
96,"n/a","2009-07-10 14:49:49","2009-07-10 14:49:49","2009-07-10 14:49:49","","","","open","na",0,0,"Default",0
97,"n/a","2009-07-10 14:50:25","2009-07-10 14:50:25","2009-07-10 14:50:25","no","","","open","supported",1,1,"Support",20
98,"n/a","2009-07-10 14:55:08","2009-07-10 14:55:08","2009-07-10 14:55:08","","","","open","submitted",1,1,"Accomidation",0
99,"n/a","2009-07-16 14:20:20","2009-07-16 14:20:20","2009-07-16 14:20:20","","","","open","na",0,0,"Default",0
100,"n/a","2009-07-16 14:21:29","2009-07-16 14:21:29","2009-07-16 14:22:00","no","","","open","supported",1,1,"Support",20
101,"n/a","2009-07-17 12:31:50","2009-07-17 12:31:50","2009-07-17 12:31:50","","","","open","na",0,0,"Default",0
102,"n/a","2009-07-17 12:49:06","2009-07-17 12:49:06","2009-07-17 12:50:00","no","","","open","supported",1,1,"Support",20
103,"n/a","2009-07-17 14:24:31","2009-07-17 14:24:31","2009-07-17 14:24:31","","","","open","na",0,0,"Default",0
104,"n/a","2009-07-17 14:32:47","2009-07-17 14:32:47","2009-07-17 14:32:47","no","","","open","supported",1,1,"Support",20
105,"n/a","2009-07-17 14:39:14","2009-07-17 14:39:14","2009-07-17 14:39:14","","","","open","waiting list",1,1,"Accomidation",0
106,"n/a","2009-07-20 12:58:47","2009-07-20 12:58:47","2009-07-20 12:58:47","","","","open","na",0,0,"Default",0
107,"n/a","2009-07-20 13:00:51","2009-07-20 13:00:51","2009-07-30 10:53:00","","","","open","na",0,0,"Default",0
108,"n/a","2009-07-20 13:06:28","2009-07-20 13:06:28","2009-07-20 13:06:28","no","","","open","supported",1,1,"Support",20
109,"n/a","2009-07-20 13:52:59","2009-07-20 13:52:59","2009-07-20 13:52:59","","","","open","na",0,0,"Default",0
110,"n/a","2009-07-20 13:53:50","2009-07-20 13:53:50","2009-07-20 13:53:50","no","","","open","supported",1,1,"Support",20
111,"n/a","2009-07-20 14:27:51","2009-07-20 14:27:51","2009-07-20 14:27:51","","","","open","na",0,0,"Default",0
112,"n/a","2009-07-20 14:28:25","2009-07-20 14:28:25","2009-07-20 14:28:25","no","","","open","supported",1,1,"Support",20
113,"n/a","2009-07-20 15:02:25","2009-07-20 15:02:25","2009-07-20 15:02:25","","","","open","na",0,0,"Default",0
114,"n/a","2009-07-20 15:02:42","2009-07-20 15:02:42","2009-07-20 15:02:42","no","","","open","supported",1,1,"Support",20
